Территория/Регион,BasicClothingAffordability,ChildNecessitiesMetIndex,FoodInsecurity_any,BasicClothing_Hotspot,HolidayAffordability,InternetAccess,InternetAccess_Low_Hotspot,MaterialStatusDistribution,Measure,MissedPayments_Hotspot,MissedPaymentsRate,Region_HardshipScore,RegularInternetUse,SevereFoodInsecurity,SevereFoodInsecurity_Hotspot,SocialAffordability,UnexpectedExpense_Low_Hotspot,UnexpectedExpenseCoverage,UnmetHealthcare_Hotspot,UnmetHealthcareNeed,WelfareTrendDistribution,HardshipScore_Total,HardshipRank,FoodInsecurity_Hotspot
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,3,0.6,1,1,0,1,98,,1,1,2,1,,0,1,0,1,0,,98,3,3,0
Актюбинская область,1,2,0.6,1,1,0,1,86,,0,1,1,1,,0,1,1,1,0,,86,3,3,0
г. Алматы,1,1,0.666666667,0,1,1,0,39,,1,1,2,1,0,1,1,0,1,0,,39,3,3,1
Алматинская область,1,2,0.75,1,1,0,1,59,,0,1,2,1,0,0,1,1,1,0,,59,4,2,1
г. Астана,1,,0.4,0,1,,1,36,,0,1,1,1,,0,1,1,1,0,,36,2,4,0
Атырауская область,1,1,0.4,0,1,,1,46,,0,1,1,1,,0,1,0,1,0,,46,1,5,0
Восточно-Казахстанская область,1,1,0.6,1,1,1,0,52,,0,1,0,1,,0,1,1,1,0,,52,2,4,0
Карагандинская область,1,3,0.75,0,1,1,0,80,,1,1,2,1,0,0,1,1,1,0,,80,3,3,1
Костанайская область,1,3,0.666666667,1,1,,1,64,,1,1,3,1,0,0,1,1,1,0,,64,5,1,1
Кызылординская область,1,1,0.6,0,1,,1,42,,0,1,1,1,0,0,1,1,1,0,,42,2,4,0
Мангистауская область,1,1,0.6,1,1,0,1,52,,0,1,1,1,0,0,1,1,1,0,,52,3,3,0
Северо-Казахстанская область,1,2,0.75,0,1,0,1,46,,0,1,2,1,0,0,1,0,1,0,,46,2,4,1
Павлодарская область,1,,1,0,1,,1,59,,0,1,2,1,1,1,1,1,1,0,,59,4,2,1
г. Шымкент,1,,0.5,1,1,,1,29,,0,1,1,1,0,0,1,0,1,0,,29,2,4,0
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,1,0.75,0,1,0,1,48,,0,1,2,1,1,1,1,0,1,0,,48,3,3,1
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,2,0.75,1,1,0,1,71,,1,1,3,1,,0,1,0,1,0,,71,4,2,1
Жамбылская область,1,1,0.75,1,1,0,1,53,,1,1,3,1,,0,1,0,1,0,,53,4,2,1
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,1,0.8,1,1,0,1,77,,1,1,3,1,0,0,1,1,1,0,,77,5,1,1
Актюбинская область,1,4,0.8,1,1,1,0,75,,1,1,2,1,0,0,1,1,1,0,,75,4,2,1
г. Алматы,1,,0.6,1,1,,1,40,,0,0,1,1,0,0,1,1,1,0,,40,3,3,0
Алматинская область,1,1,0.5,0,1,,1,49,,1,1,2,1,,0,1,0,1,0,,49,2,4,0
г. Астана,1,1,0.75,0,1,,1,39,,1,1,3,1,0,1,1,1,1,0,,39,5,1,1
Атырауская область,1,,0.75,1,1,0,1,30,,1,1,3,1,,0,1,1,1,0,,30,5,1,1
Восточно-Казахстанская область,1,1,0.6,0,1,,1,51,,0,1,1,1,,0,1,1,1,0,,51,3,3,0
Карагандинская область,1,1,0.75,0,1,,1,62,,0,1,2,1,,0,1,0,1,0,,62,2,4,1
Костанайская область,1,1,0.6,0,1,0,1,62,,1,1,2,1,,0,1,1,1,0,,62,4,2,0
Кызылординская область,1,,0.6,1,1,1,0,47,,0,1,0,1,,0,1,0,1,0,,47,2,4,0
Мангистауская область,1,1,0.5,1,1,,1,41,,1,1,2,1,,0,1,0,1,0,,41,3,3,0
Северо-Казахстанская область,1,1,0.75,0,1,1,0,40,,1,1,2,1,,0,1,1,1,0,,40,3,3,1
Павлодарская область,1,2,0.5,1,1,0,1,55,,1,1,2,1,,0,1,0,1,0,,55,3,3,0
г. Шымкент,1,1,0.75,0,1,,1,35,,1,1,3,1,,0,1,0,1,0,,35,3,3,1
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,,0.5,0,1,,1,43,,1,1,2,1,0,1,1,1,1,0,,43,4,2,0
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,1,0.5,1,1,,1,54,,0,1,1,1,,0,1,1,1,0,,54,3,3,0
Жамбылская область,1,2,0.75,1,1,0,1,44,,1,1,3,1,0,1,1,0,1,0,,44,5,1,1
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,2,0.8,1,1,1,0,148,,1,1,2,1,0,1,1,1,1,0,,148,5,1,1
Актюбинская область,1,1,1,1,1,0,1,126,,1,1,3,1,,0,1,0,1,0,,126,4,2,1
г. Алматы,1,2,0.714285714,1,1,0,1,74,,0,0,1,1,,0,1,0,1,0,,74,2,4,0
Алматинская область,1,2,0.571428571,1,1,0,1,113,,0,1,1,1,,0,1,1,1,0,,113,3,3,0
г. Астана,1,3,0.8,0,1,,1,70,,1,1,3,1,0,0,1,1,1,0,,70,4,2,1
Атырауская область,1,1,0.666666667,1,1,,1,80,,0,1,1,1,0,0,1,1,1,0,,80,3,3,0
Восточно-Казахстанская область,1,1,0.5,1,1,0,0,99,,1,1,1,1,,0,1,1,1,0,,99,4,2,0
Карагандинская область,1,2,0.6,1,1,,1,118,,1,1,2,1,,0,1,0,1,0,,118,3,3,0
Костанайская область,1,3,0.833333333,1,1,0,0,101,,1,1,2,1,0,1,1,0,1,0,,101,4,2,1
Кызылординская область,1,1,0.5,0,1,0,1,72,,0,1,1,1,0,0,1,1,1,0,,72,2,4,0
Мангистауская область,1,1,0.8,0,1,1,0,72,,1,1,2,1,0,0,1,1,1,0,,72,3,3,1
Северо-Казахстанская область,1,2,0.571428571,1,0,0,1,88,,0,1,1,1,,0,1,0,1,0,,88,2,4,0
Павлодарская область,1,3,0.8,1,1,,1,129,,1,1,3,1,,0,1,1,1,0,,129,5,1,1
г. Шымкент,1,1,1,1,1,0,1,40,,0,1,2,1,,0,1,0,1,0,,40,3,3,1
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,3,0.6,0,1,0,1,83,,1,1,2,1,0,0,1,0,1,0,,83,2,4,0
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,2,0.857142857,0,1,0,1,94,,0,1,2,1,,0,1,1,1,0,,94,3,3,1
Жамбылская область,1,1,0.833333333,0,1,,1,110,,0,1,2,1,1,1,1,1,1,0,,110,4,2,1
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,1,0.5,1,1,1,1,18,,1,1,2,1,,0,1,1,1,0,,18,4,2,0
Актюбинская область,1,2,0.5,1,1,0,1,14,,0,1,1,1,,0,1,1,1,0,,14,3,3,0
г. Алматы,1,1,0.5,1,1,,1,21,,0,1,1,1,,0,1,0,1,0,,21,2,4,0
Алматинская область,1,,0.5,1,1,,1,13,,1,1,2,1,,0,1,0,1,0,,13,3,3,0
г. Астана,1,3,0.25,0,1,,1,13,,0,1,1,1,,0,1,1,1,0,,13,2,4,0
Атырауская область,1,1,0.666666667,1,0,,1,6,,0,0,2,1,,0,1,1,0,0,,6,4,2,1
Восточно-Казахстанская область,1,,0.333333333,0,1,1,0,15,,0,1,0,1,,0,1,1,1,0,,15,1,5,0
Карагандинская область,1,1,0.333333333,0,1,,1,29,,1,1,2,1,,0,1,0,1,0,,29,2,4,0
Костанайская область,1,1,1,1,1,,1,24,,1,1,3,1,0,0,1,1,1,0,,24,5,1,1
Кызылординская область,1,,0.666666667,1,1,,1,11,,0,1,2,1,,0,1,1,1,0,,11,4,2,1
Мангистауская область,1,,0.333333333,1,1,,1,12,,1,1,2,1,,0,1,1,1,0,,12,4,2,0
Северо-Казахстанская область,1,,,0,1,,1,9,,0,,1,1,,0,1,1,1,0,,9,2,4,0
Павлодарская область,1,1,1,0,1,,1,23,,0,1,2,1,,0,1,0,1,0,,23,2,4,1
г. Шымкент,1,,0.75,0,1,,1,11,,0,0,2,1,0,0,1,0,1,0,,11,2,4,1
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,,0.5,0,1,1,1,14,,1,1,2,1,,0,1,0,1,0,,14,2,4,0
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,2,0.5,0,1,,1,12,,0,1,1,1,,0,1,1,1,0,,12,2,4,0
Жамбылская область,1,,,0,1,,1,14,,1,1,2,1,,0,1,1,1,0,,14,3,3,0
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,3,0
Акмолинская область,1,3,0.666666667,0,1,,1,29,,0,1,2,1,,0,1,0,1,0,,29,2,5,1
Актюбинская область,1,1,0.6,1,1,0,1,48,,0,1,1,1,,0,1,0,1,0,,48,2,5,0
г. Алматы,1,1,0.8,1,1,,1,64,,0,1,2,1,0,0,1,0,1,0,,64,3,4,1
Алматинская область,1,1,0.8,1,1,,1,45,,1,1,3,1,0,0,1,1,1,0,,45,5,2,1
г. Астана,1,2,0.75,1,1,0,0,43,,0,1,1,1,0,1,1,1,1,0,,43,4,3,1
Атырауская область,1,,1,1,1,,1,32,,0,1,2,1,,0,1,1,1,0,,32,4,3,1
Восточно-Казахстанская область,1,3,1,0,1,,1,72,,1,1,3,1,,0,1,0,1,0,,72,3,4,1
Карагандинская область,1,2,0.8,1,1,0,1,62,,1,1,3,1,0,1,1,1,1,0,,62,6,1,1
Костанайская область,1,1,0.4,0,1,0,1,53,,1,1,2,1,,0,1,1,1,0,,53,3,4,0
Кызылординская область,1,1,0.4,0,1,,1,36,,1,1,2,1,0,0,1,0,1,0,,36,2,5,0
Мангистауская область,1,2,0.75,0,1,,1,48,,0,1,2,1,,0,1,1,1,0,,48,3,4,1
Северо-Казахстанская область,1,2,0.75,0,1,0,0,51,,1,1,2,1,,0,1,0,1,0,,51,2,5,1
Павлодарская область,1,2,0.428571429,1,0,0,1,62,,1,1,2,1,0,1,1,1,0,0,,62,5,2,0
г. Шымкент,1,1,0.8,0,1,0,1,50,,0,1,2,1,0,0,1,0,1,0,,50,2,5,1
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,3,0
Туркестанская область,1,1,0.5,1,1,,1,48,,1,1,2,1,,0,1,1,1,0,,48,4,3,0
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,3,0
Западно - Казахстанская область,1,1,0.6,1,1,0,1,40,,0,1,1,1,0,0,1,1,1,0,,40,3,4,0
Жамбылская область,1,1,0.2,1,1,,1,29,,0,1,1,1,,0,1,1,1,0,,29,3,4,0
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,3,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,3,1,0,1,0,0,79,,0,1,1,1,1,1,1,0,1,0,,79,2,4,1
Актюбинская область,1,1,0.8,1,1,0,1,76,,1,1,3,1,,0,1,0,1,0,,76,4,2,1
г. Алматы,1,3,0.6,1,1,0,0,106,,1,1,1,1,0,0,1,0,1,0,,106,2,4,0
Алматинская область,1,1,0.75,1,1,0,1,72,,1,1,3,1,,0,1,0,1,0,,72,4,2,1
г. Астана,1,3,0.75,1,1,,1,69,,1,1,3,1,,0,1,0,1,0,,69,4,2,1
Атырауская область,1,2,0.8,1,1,,1,55,,1,1,3,1,0,1,1,0,1,0,,55,5,1,1
Восточно-Казахстанская область,1,2,0.75,0,1,,1,101,,0,1,2,1,1,1,1,1,1,0,,101,4,2,1
Карагандинская область,1,2,0.75,0,1,,1,108,,0,1,2,1,0,0,1,1,1,0,,108,3,3,1
Костанайская область,1,2,0.6,0,1,,1,77,,0,1,1,1,,0,1,1,1,0,,77,2,4,0
Кызылординская область,1,4,0.4,1,1,0,1,72,,0,0,1,1,,0,1,1,1,0,,72,3,3,0
Мангистауская область,1,1,0.4,0,1,,1,56,,0,0,1,1,,0,1,1,1,0,,56,2,4,0
Северо-Казахстанская область,1,2,0.4,1,1,,1,74,,1,1,2,1,,0,1,1,1,0,,74,4,2,0
Павлодарская область,1,3,0.8,0,1,0,1,97,,1,1,3,1,,0,1,1,1,0,,97,4,2,1
г. Шымкент,1,2,0.5,1,1,,1,75,,0,1,1,1,,0,1,1,1,0,,75,3,3,0
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,2,0.75,0,1,,1,81,,0,1,2,1,0,0,1,1,1,0,,81,3,3,1
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,3,0.666666667,1,1,,1,65,,1,1,2,1,0,0,1,0,1,0,,65,3,3,0
Жамбылская область,1,,0.75,1,1,1,0,66,,0,1,1,1,,0,1,1,1,0,,66,3,3,1
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,1,0.75,0,1,,1,43,,0,1,2,1,0,0,1,0,1,0,,43,2,4,1
Актюбинская область,1,2,0.75,0,1,0,1,60,,1,1,3,1,0,0,1,0,1,0,,60,3,3,1
г. Алматы,1,1,0.666666667,1,1,0,1,96,,0,1,1,1,0,0,1,1,1,0,,96,3,3,0
Алматинская область,1,2,0.75,1,1,,1,64,,1,1,3,1,,0,1,0,1,0,,64,4,2,1
г. Астана,1,2,0.75,0,1,,1,71,,1,1,3,1,0,0,1,1,1,0,,71,4,2,1
Атырауская область,1,1,0.5,0,1,,1,48,,1,1,2,1,0,0,1,1,1,0,,48,3,3,0
Восточно-Казахстанская область,1,2,0.6,0,1,0,1,93,,1,1,2,1,0,0,1,1,1,0,,93,3,3,0
Карагандинская область,1,3,0.6,1,1,,1,101,,0,1,1,1,,0,1,1,1,0,,101,3,3,0
Костанайская область,1,4,0.6,0,1,0,1,88,,0,1,1,1,,0,1,1,1,0,,88,2,4,0
Кызылординская область,1,1,0.75,0,1,,1,41,,0,0,2,1,,0,1,1,1,0,,41,3,3,1
Мангистауская область,1,1,0.6,1,1,1,0,55,,1,1,1,1,,0,1,1,1,0,,55,3,3,0
Северо-Казахстанская область,1,2,0.6,0,1,0,1,77,,1,1,2,1,0,0,1,1,1,0,,77,3,3,0
