Территория/Регион,BasicClothingAffordability,ChildNecessitiesMetIndex,FoodInsecurity_any,BasicClothing_Hotspot,HolidayAffordability,InternetAccess,InternetAccess_Low_Hotspot,MaterialStatusDistribution,Measure,MissedPayments_Hotspot,MissedPaymentsRate,Region_HardshipScore,RegularInternetUse,SevereFoodInsecurity,SevereFoodInsecurity_Hotspot,SocialAffordability,UnexpectedExpense_Low_Hotspot,UnexpectedExpenseCoverage,UnmetHealthcare_Hotspot,UnmetHealthcareNeed,WelfareTrendDistribution,HardshipScore_Total,HardshipRank,FoodInsecurity_Hotspot
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,1,0.75,1,1,,1,36,,1,1,3,1,0,1,1,0,1,0,,36,5,1,1
Жамбылская область,1,,0.75,1,1,0,1,37,,1,1,3,1,0,1,1,0,1,0,,37,5,1,1
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,,0.666666667,1,1,,1,67,,0,1,1,1,0,1,1,0,1,0,,67,3,3,0
Актюбинская область,1,1,0.6,1,1,,1,67,,0,1,1,1,,0,1,1,1,0,,67,3,3,0
г. Алматы,1,3,0.75,0,1,,1,58,,1,1,3,1,,0,1,1,1,0,,58,4,2,1
Алматинская область,1,2,0.6,1,1,,1,73,,1,1,2,1,,0,1,1,1,0,,73,4,2,0
г. Астана,1,1,1,1,1,,1,46,,0,1,2,1,0,1,1,1,1,0,,46,5,1,1
Атырауская область,1,2,1,1,1,1,0,65,,0,1,1,1,,0,1,1,1,0,,65,3,3,1
Восточно-Казахстанская область,1,1,0.8,1,1,0,1,62,,1,1,3,1,0,0,1,0,1,0,,62,4,2,1
Карагандинская область,1,2,0.5,0,1,0,1,78,,1,1,2,1,,0,1,0,1,0,,78,2,4,0
Костанайская область,1,4,0.75,0,1,,1,78,,0,1,2,1,1,1,1,1,1,0,,78,4,2,1
Кызылординская область,1,1,0.666666667,1,1,1,0,51,,1,1,1,1,0,0,1,1,1,0,,51,4,2,0
Мангистауская область,1,1,0.8,0,1,0,1,54,,0,1,2,1,0,0,1,0,1,0,,54,2,4,1
Северо-Казахстанская область,1,3,0.4,0,1,0,1,80,,1,1,2,1,,0,1,1,1,0,,80,3,3,0
Павлодарская область,1,2,0.5,0,1,,1,60,,0,1,1,1,0,0,1,1,1,0,,60,2,4,0
г. Шымкент,1,,0.75,1,1,,1,27,,1,1,3,1,,0,1,0,1,0,,27,4,2,1
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,1,0.857142857,1,1,1,0,66,,0,1,1,1,0,0,1,0,1,0,,66,2,4,1
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,1,0.5,1,1,,1,46,,1,1,2,1,1,1,1,0,1,0,,46,4,2,0
Жамбылская область,1,2,0.666666667,0,1,0,1,73,,0,1,1,1,,0,1,0,1,0,,73,1,5,0
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,1,0
Акмолинская область,1,1,0.75,1,1,0,0,57,,1,1,2,1,,0,1,0,1,0,,57,3,2,1
Актюбинская область,1,1,1,0,1,0,0,62,,1,1,2,1,1,1,1,0,1,0,,62,3,2,1
г. Алматы,1,,0.666666667,0,1,0,0,47,,0,1,0,1,1,1,1,0,1,0,,47,1,4,0
Алматинская область,1,1,0.4,1,1,0,1,74,,1,1,2,1,,0,1,0,1,0,,74,3,2,0
г. Астана,1,3,0.666666667,0,1,,1,47,,1,1,2,1,0,0,1,0,1,0,,47,2,3,0
Атырауская область,1,1,0.8,0,1,0,1,56,,0,1,2,1,,0,1,1,1,0,,56,3,2,1
Восточно-Казахстанская область,1,1,0.6,1,1,,1,59,,0,1,1,1,,0,1,1,1,0,,59,3,2,0
Карагандинская область,1,1,0.8,1,1,1,0,78,,1,1,2,1,0,0,1,1,1,0,,78,4,1,1
Костанайская область,1,1,0.8,0,1,,1,75,,0,1,2,1,,0,1,1,1,0,,75,3,2,1
Кызылординская область,1,1,0.833333333,0,1,0,1,63,,0,1,2,1,,0,1,1,1,0,,63,3,2,1
Мангистауская область,1,4,0.75,0,1,0,1,60,,1,1,3,1,,0,1,0,1,0,,60,3,2,1
Северо-Казахстанская область,1,1,0.666666667,1,1,,1,54,,0,1,1,1,,0,1,1,1,0,,54,3,2,0
Павлодарская область,1,4,0.5,1,1,0,0,69,,1,1,1,1,0,0,1,1,1,0,,69,3,2,0
г. Шымкент,1,,0.6,1,1,0,0,34,,1,1,1,1,,0,1,1,1,0,,34,3,2,0
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,1,0
Туркестанская область,1,1,0.571428571,0,1,1,0,46,,0,0,0,1,0,0,1,1,1,0,,46,1,4,0
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,1,0
Западно - Казахстанская область,1,1,0.75,1,1,0,1,50,,1,1,3,1,0,0,1,0,1,0,,50,4,1,1
Жамбылская область,1,1,0.666666667,1,1,0,1,79,,0,1,1,1,0,0,1,0,1,0,,79,2,3,0
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,1,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Кызылординская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Мангистауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Северо-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Павлодарская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Шымкент,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Южно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Туркестанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Ұлытау область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Западно - Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жамбылская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Жетісу область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,1,0.666666667,1,1,,1,61,,1,1,3,1,0,0,1,1,1,0,,61,5,1,1
Актюбинская область,1,2,0.8,0,1,,1,68,,0,0,2,1,,0,1,1,1,0,,68,3,3,1
г. Алматы,1,,0.4,0,1,,1,46,,0,1,1,1,,0,1,0,1,0,,46,2,4,0
Алматинская область,1,,0.5,0,1,1,0,65,,1,1,1,1,,0,1,0,1,0,,65,1,5,0
г. Астана,1,2,0.666666667,1,1,1,0,36,,1,1,2,1,,0,1,1,1,0,,36,4,2,1
Атырауская область,1,,0.75,0,1,,1,49,,1,1,3,1,0,1,1,0,1,0,,49,4,2,1
Восточно-Казахстанская область,1,1,0.5,1,1,1,0,54,,0,1,0,1,0,1,1,0,1,0,,54,2,4,0
Карагандинская область,1,1,0.6,1,1,,1,63,,0,1,1,1,0,0,1,1,1,0,,63,3,3,0
Костанайская область,1,1,0.5,1,1,0,1,49,,0,0,1,1,0,0,1,1,1,0,,49,3,3,0
Кызылординская область,1,1,0.5,1,1,0,1,37,,0,1,1,1,,0,1,0,1,0,,37,2,4,0
Мангистауская область,1,1,0.8,0,1,0,1,52,,0,1,2,1,,0,1,0,1,0,,52,2,4,1
Северо-Казахстанская область,1,1,0.6,0,1,0,1,52,,0,1,1,1,,0,1,0,1,0,,52,1,5,0
Павлодарская область,1,2,1,1,1,,1,55,,1,1,3,1,0,1,1,0,1,0,,55,5,1,1
г. Шымкент,1,1,0.25,0,1,,1,29,,0,1,1,1,,0,1,1,1,0,,29,2,4,0
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,3,0.6,1,1,0,1,54,,0,1,1,1,0,0,1,1,1,0,,54,3,3,0
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,1,0.6,1,1,0,1,43,,0,1,1,1,,0,1,1,1,0,,43,4,2,0
Жамбылская область,1,1,0.75,1,1,,1,42,,1,1,3,1,,0,1,1,1,0,,42,5,1,1
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Акмолинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Актюбинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Алматы,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Алматинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
г. Астана,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Атырауская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Восточно-Казахстанская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Карагандинская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
Костанайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
